ano;numero_termo;numero_sei;orgao_acordo;parceiro_acordo;objeto;inicio_vigencia;fim_vigencia;situacao;link_documento
"2021";"47";"1400.01.0028889/2021-58";"CORPO DE BOMBEIROS MILITAR DE MINAS GERAIS";"PARACATU";"Cooperação mútua entre os convenentes visando à manutenção do Pelotão do CBMMG para prestação de serviços de prevenção e combate a incêndio, busca e salvamento, resgate e defesa civil no Município de Paracatu e região.";"2025-07-01";"2026-06-30";"VIGENTE";"https://drive.google.com/file/d/1gM7cTDlZVIgLSfQX1DLQDpngR20df6f7/view?usp=sharing"
"2021";"1";"1400.01.0066861/2020-10";"CORPO DE BOMBEIROS MILITAR DE MINAS GERAIS";"UNAÍ";"cooperação mútua entre os convenentes, visando à execução pelo CBMMG, dos serviços de prevenção e combate a incêndio, busca e salvamento, resgate e defesa civil no Município de UNAÍ e região.";"";"";"ENCERRADO";"https://drive.google.com/file/d/1UQUALstavs4ebniajrpGGHC5aXdbO-z6/view?usp=sharing"
"2020";"1400.01.0012847/2020-90";"1400.01.0012847/2020-90";"CORPO DE BOMBEIROS MILITAR DE MINAS GERAIS";"JOÃO PINHEIRO";"Estabelecer as ontenções do CBMMG e do Município de João Pinheiro/MG, em firmar um Instrumento Público Específico, com vistas à execução pelo CBMMG, dos serviços de prevenção e de combate a incêndio, busca e salvamento, resgate e defesa civil no Município, impondo assim condições para que o CBMMG preste serviços de qualidade na região, mediante a construção da sede da Fração BM na cidade de João Pinheiro a cargo da Prefeitura Municipal, que deverá ocorrer no prazo de 12 (doze) meses após a assiantura deste instrumento.";"2020-06-20";"2021-06-19";"ENCERRADO";"https://drive.google.com/file/d/1x_onGpOAZ4_QxVMLsxO3m4pbNO3N3OKT/view?usp=sharing"
"2019";"3";"1400.01.0027947/2019-84";"CORPO DE BOMBEIROS MILITAR DE MINAS GERAIS";"PARACATU";"Cessão de uso do Imóvel localizado na Rua Bento Pereira Mundim nº 94 Bairro Amoreiras I, de propriedade da União conforme matricula nº 18847, livro nº 2, ficha nº 18412 do cartório de Registro de Imóveis da Comarca de Paracatu Minas Gerais, cedido ao Município de Paracatu destinado a instalação e funcionamento de Uma Fração de Bombeiro Militar no Município de Paracatu..";"2020-01-28";"2040-01-27";"VIGENTE";"https://drive.google.com/file/d/153kO69hQPUHol2mnh6E0_vHIji1dK4kU/view?usp=sharing"
"2019";"1";"1400.01.0016392/2019-20";"CORPO DE BOMBEIROS MILITAR DE MINAS GERAIS";"PATOS DE MINAS";"Fornecimento de linhas telefônicas, incluindo os tridígitos 193 e 199, bem como de internet banda larga sob custeio do Município de Patos de Minas a favor do 12º BBM.";"2021-06-06";"2022-06-05";"ENCERRADO";"https://drive.google.com/file/d/15mBUEJMQQoXZy-H-jCdy7mocqKXDKyGg/view?usp=sharing"
"2016";"1";"1400.01.0024303/2018-20";"CORPO DE BOMBEIROS MILITAR DE MINAS GERAIS";"UNAÍ";"Estabelecimento de condições de cooperação mútua entre os convenentes, visando à execução pelo CBMMG dos serviços de prevenção e combate a incêndio, busca e salvamento, resgate e defesa civil no Município de Unaí e região.";"2020-01-01";"2020-12-31";"ENCERRADO";"https://drive.google.com/file/d/1LgwbB664S45ndON1bk6bPHwO6MjTEvjP/view?usp=sharing"
"2014";"2";"1400.01.0009622/2018-65";"CORPO DE BOMBEIROS MILITAR DE MINAS GERAIS";"PATOS DE MINAS";"O convênio tem por objeto, pagamento de tarifas telefônicas e da internet banda larga da 4ª Companhia Independente de Bombeiros Militar - Patos de Minas.";"2018-06-14";"2019-06-13";"ENCERRADO";"https://drive.google.com/file/d/1cB_UNEW_jJGKjb1dpr9Qme2J0elgK-mr/view?usp=sharing"
"2017";"1";"1400.01.0007364/2018-18";"CORPO DE BOMBEIROS MILITAR DE MINAS GERAIS";"PATROCÍNIO";"Cooperação mútua entre os convenentes visando à manutenção da Fração do CBMMG para prestação de serviços de prevenção e combate a incêndio, busca e salvamento, resgate e defesa civil no Município de Patrocínio e região.";"2021-08-17";"2022-08-16";"ENCERRADO";"https://drive.google.com/file/d/1TTVIzJnVrk63tL7NntIWDbYvFYBrlHJF/view?usp=sharing"
"2018";"1400.01.0007084/2018-12";"1400.01.0007084/2018-12";"CORPO DE BOMBEIROS MILITAR DE MINAS GERAIS";"PATOS DE MINAS";"estabelecer as intenções do CBMMG e do Município de Patos de Minas em elevar a Companhia Independente de Patos de Minas à condição de Batalhão.";"";"";"ENCERRADO";"https://drive.google.com/file/d/1OV1Cd63SaBENU_3TW36Yun25AJDgLwXh/view?usp=sharing"
"2016";"62";"1400.01.0006804/2018-06
1400.01.0018489/2019-49";"CORPO DE BOMBEIROS MILITAR DE MINAS GERAIS";"PARACATU";"Cooperação mútua entre os convenentes visando à manutenção do Pelotão do CBMMG para prestação de serviços de prevenção e combate a incêndio, busca e salvamento, resgate e defesa civil no Município de paracatu e região.";"2020-07-01";"2021-06-30";"ENCERRADO";"https://drive.google.com/file/d/1_0_g58Zcqr9KwK5QDhbL-tSaNHCf3VSg/view?usp=sharing"
"2025";"21230125";"1400.01.0005724/2025-45";"CORPO DE BOMBEIROS MILITAR DE MINAS GERAIS";"PATROCÍNIO";"Estabelecimento de coondições de cooperação mútua entre os convenentes, visandoo a execução, pelo CBMMG/12º BBM, dos Serviçõs de Prevenção e de Combate a Incêndio, Busca e Salvamento, Resgate e Ações de Defesa Civil no Municipio de Patrocínio e região";"2025-04-15";"2028-04-17";"VIGENTE";"https://drive.google.com/file/d/1AP9Gbkhw78YbeG2oBRObqzQWMeSMqgfr/view?usp=sharing"
"2025";"118275887";"1400.01.0000775/2025-02";"CORPO DE BOMBEIROS MILITAR DE MINAS GERAIS";"MONTE CARMELO";"Estabelecer as intenções do CBMMG e do Município de Monte Carmelo/MG, de firmarem instrumento público específico com vista à execução 
dos serviços de prevenção e de combate a incêndio, busca e salvamento, resgate e defesa civil no referido, realizando-se dessa forma, condições imprescindíveis para que o CBMMG 
preste serviços de qualidade na região, inclusive com a construção da sede da Fração BM a cargo da Prefeitura Municipal, que deverá ocorrer no prazo de 12 meses após a assinatura";"2025-09-11";"2026-09-10";"VIGENTE";"https://drive.google.com/file/d/18Nv4E1rD_ToPZcRvFNNnS1F-SE5WXmfg/view?usp=sharing"
"2025";"212003";"1400.01.0038836/2025-70";"CORPO DE BOMBEIROS MILITAR DE MINAS GERAIS";"LAGOA FORMOSA";"Estabelecimento de condições de cooperação 
mútua entre os convenentes, visando à ampliação e operacionalização do Projeto Social Bombeiro Mirim 
do Décimo Segundo Batalhão de Bombeiros Militar na cidade de Patos de Minas/MG, com a inclusão de 
crianças do município de Lagoa Formosa.";"2025-12-02";"2026-12-01";"VIGENTE";"https://drive.google.com/file/d/1A4v7jbzOQYhBMAuFoSLPryoLHrkQhGCL/view?usp=sharing"
"2025";"212303";"1400.01.0048980/2025-13";"CORPO DE BOMBEIROS MILITAR DE MINAS GERAIS";"PATROCÌNIO";"Conjugação de esforços entre o município de Patrocínio 
e Estado de Minas Gerais, por intermédio do Corpo de Bombeiros Militar de Minas Gerais, visando a 
execução de obras de construção de piscina e reforma das instalações da Cia, bem como a implementação de 
ações educativas e de capacitação da comunidade com temas relacionadas á segurança, prevenção de 
acidentes, primeiros socorros e demais atividades correlatas";"2026-03-20";"2027-03-20";"VIGENTE";"https://drive.google.com/file/d/1f97CwGM2w-LxpUb_-s5fsIlddcQMi2se/view?usp=sharing"
"2024";"208003";"1400.01.0052516/2024-89";"CORPO DE BOMBEIROS MILITAR DE MINAS GERAIS";"UBERABA";"Estabelecimento de condições de cooperação mútua entre os partícipes, visando à integração do Serviço de Atendimento Móvel de Urgência - SAMU e Corpo de Bombeiros Militar de Minas Gerais - CBMMG na gestão, gerenciamento, coordenação e execução dos serviços assistenciais de atendimento Pré-Hospitalar móvel, no Município de Uberaba para situações envolvendo operações terrestres, com viabilidade de implantação de Central de Regulação Médica de Urgências integrada à Centro Integrado de Atendimento e Despacho - CIAD e estabelecimento de bases descentralizadas do SAMU nos pelotões do 8º BBM Sede, mediante termo aditivo a este instrumento; apoio e suporte para as atividades implementadas pelo Núcleo de Educação Permanente - NEP; apoio logístico e insumos para composição da Unidade de Resgate Mista. Definição de protocolos entre SAMU e 8º BBM para atendimento operacional e despacho de viaturas; estabelecimento de normas técnicas de atendimento Pré-Hospitalar móvel, em conformidade com a Portaria GM/MS nº 2.048, de 05 de novembro de 2002.";"2024-12-07";"2026-12-06";"VIGENTE";"https://drive.google.com/file/d/1Qe1_ee6rADBOOPvsyba7L7e4RAz77SCc/view?usp=sharing"
"2024";"208222";"1400.01.0020730/2024-55";"CORPO DE BOMBEIROS MILITAR DE MINAS GERAIS";"SANTA JULIANA";"O presente convênio tem por objeto o estabelecimento de condições de cooperação mútua entre os
convenentes visando a execução, pelo CBMMG / 8º BBM, dos serviços de prevenção e de combate a
incêndio, busca e salvamento, resgate e ações de defesa civil no Município de Santa Juliana e região.";"2025-07-23";"2026-07-22";"VIGENTE";"https://drive.google.com/file/d/1PDsuFr4y0wUS7ZKJ9abg-bdXnjHCCO6q/view?usp=sharing"
"2023";"1";"1400.01.0029458/2023-15";"CORPO DE BOMBEIROS MILITAR DE MINAS GERAIS";"UBERABA";"Conjugação de esforços entre os entes
cooperados para atendimento do tridígito 199 com objetivo de atender
aos anseios e as necessidades da sociedade no que tange as ocorrências
de natureza de Defesa Civil";"2023-07-21";"2024-07-20";"ENCERRADO";"https://drive.google.com/file/d/1KH8NPuZPvKjj90DylKjsFh0tLKYBB96b/view?usp=sharing"
"2022";"12";"1400.01.0036005/2022-80";"CORPO DE BOMBEIROS MILITAR DE MINAS GERAIS";"SACRAMENTO";"Consiste no estabelecimento de condições de
cooperação mútua entre os partícipes, visando a prestação de serviços
pré-hospitalares móveis com guarnições mistas entre CBMMG de
Sacramento (8º BBM / 2ª CIA / 2º PELOTÃO) e profissionais da
Secretaria de Saúde de Sacramento/MG, através da criação do SIATE193.";"2022-07-02";"2024-12-31";"ENCERRADO";"https://drive.google.com/file/d/1qVPsL_n78q4cATaEwFd9VzvRqH3q2pi7/view?usp=sharing"
"2022";"2";"1400.01.0031534/2022-32";"CORPO DE BOMBEIROS MILITAR DE MINAS GERAIS";"UBERABA";"O presente convênio tem por objeto o estabelecimento de condições de cooperação mútua entre os convenentes, visando à execução pelo CBMMG, dos serviços de prevenção e de combate a incêndios, busca e salvamento, resgate e execução de atividades de defesa civil no município de Uberaba e região, visando ainda a efetiva e cada vez melhor manutenção da ordem e da defesa social.
os convenentes, visando à execução pelo CBMMG, dos serviços de
prevenção e de combate a incêndios, busca e salvamento, resgate
e execução de atividades de defesa civil no município de Uberaba e
região, visando ainda a efetiva e cada vez melhor manutenção da ordem
e da defesa social";"2022-07-25";"2023-07-24";"ENCERRADO";"https://drive.google.com/file/d/16ZbitK5BIrtqKxAjYzCY8FCE-ZJ2hitc/view?usp=sharing"
"2022";"1";"1400.01.0029378/2022-44";"CORPO DE BOMBEIROS MILITAR DE MINAS GERAIS";"FRUTAL";"O presente Termo de Convênio tem por objeto cooperação mútua entre os convenentes,
visando à execução pelo CBMMG, dos serviços de prevenção e combate a incêndio, busca e
salvamento, resgate e defesa civil no Município de Frutal e região.";"2022-07-01";"2028-07-01";"VIGENTE";"https://drive.google.com/file/d/1nQARMDu7_Ohisk8h_2GDWMEtS6aQkIc0/view?usp=sharing"
"2022";"4";"1400.01.0017919/2022-07";"CORPO DE BOMBEIROS MILITAR DE MINAS GERAIS";"CAMPOS ALTOS";"Estabelecimento de condições
de cooperação mútua entre os convenentes, visando à execução,
pelo CBMMG/8º BBM, dos Serviços de Prevenção e de Combate a
Incêndio, Busca e Salvamento, Resgate e Ações de Defesa Civil no
Município e região";"2024-07-27";"2027-07-26";"VIGENTE";"https://drive.google.com/file/d/1A9gA_G4lAcgmQtMyUSok9oXx3Tg9fjCc/view?usp=sharing"
"2022";"44528385";"1400.01.0011814/2022-39";"CORPO DE BOMBEIROS MILITAR DE MINAS GERAIS";"UBERABA";"Conjugação de esforços entre os entes
cooperados para realização do estudo de riscos existentes no município
de beraba, com objetivo de confeccionar planos de contingências e
mapas de riscos, para uma melhor resposta às emergências e aumento
da resiliência do município frente aos eventos adversos";"2024-05-10";"2026-05-09";"ENCERRADO";"https://drive.google.com/file/d/1LRnVtGlQvBmHLeLbunhHeltWJR1k7nRJ/view?usp=sharing"
"2022";"3";"1400.01.0005705/2022-82";"CORPO DE BOMBEIROS MILITAR DE MINAS GERAIS";"UNIÃO DE MINAS";"O presente convênio tem por objeto o estabelecimento de condições de cooperação mútua entre os convenentes, visando à execução, pelo CBMMG/8º BBM, dos Serviços de Prevenção e de Combate a Incêndio, Busca e Salvamento, Resgate e Ações de Defesa Civil no Município e região.";"2026-01-01";"2026-12-31";"VIGENTE";"https://drive.google.com/file/d/1nb4LZADm_hlshITkG-y3Alqb18gi5gRN/view?usp=sharing"
"2021";"1400.01.0037785/2021-38";"1400.01.0037785/2021-38";"CORPO DE BOMBEIROS MILITAR DE MINAS GERAIS";"UBERABA";"Conjugação de esforços entre os entes cooperados para o atendimento do tri-dígito 199 com objetivo de atender aos anseios e as necessidades da sociedade no que tange as ocorrências de natureza de Defesa Civil, para uma melhor resposta às emergências do município frente aos eventos adversos em qualquer de sua natureza, podendo ser ela tecnológica ou natural, conforme a Classificação Brasileira de Desastres (COBRADE).";"2022-09-29";"2023-03-28";"ENCERRADO";"https://drive.google.com/file/d/1jvKgN74sMSbUpFrLJx3INp1jA76Ospp9/view?usp=sharing"
"2021";"1";"1250.01.0005183/2021-74";"CORPO DE BOMBEIROS MILITAR DE MINAS GERAIS";"UBERLANDIA";"Estabelecer as condições de cooperação técnica entre os partícipes, para a utilização de forma compartilhada do sistema IRONVOX IPBX - telefonia IP baseada no software Asterisk na região da 9a RISP (Região Integrada de Segurança Pública – Uberlândia, MG) com foco na segurança pública e na defesa civil.";"2021-10-15";"2026-10-12";"VIGENTE";"https://drive.google.com/file/d/1WKCgX34lXFa6poodrraXwkvSUqLOW-zy/view?usp=sharing"
"2021";"62";"1400.01.0029313/2021-56";"CORPO DE BOMBEIROS MILITAR DE MINAS GERAIS";"LIMEIRA DO OESTE";"Cooperação mútua entre os convenentes visando a
execução dos serviços de prevenção e de combate a incêndio, busca e
salvamento, resgate e ações de defesa civil no município de Limeira
do Oeste e região";"2024-10-14";"2024-12-31";"ENCERRADO";"https://drive.google.com/file/d/1CNJ0-EzaiG-pb25fjSfbYEMhA9FIaWK8/view?usp=sharing"
"2021";"27";"1400.01.0024050/2021-52";"CORPO DE BOMBEIROS MILITAR DE MINAS GERAIS";"SACRAMENTO";"Estabelecimento de condições de cooperação mútua entre os convenentes, visando à execução pelo CBMMG, dos Serviços de Prevenção e de Combate a Incêndios, Buscas e Salvamentos, Resgates e Execução de Atividades de Proteção e Defesa Civil no município de Sacramento MG e região, visando ainda à efetiva e cada vez melhor manutenção da ordem e da defesa social.";"2025-06-23";"2026-06-22";"ENCERRADO";"https://drive.google.com/file/d/1SQJQo6jo7i0Ctpe6Ku3aY0IEp7NB3xyZ/view?usp=sharing"
"2021";"1";"1400.01.0020148/2021-64";"CORPO DE BOMBEIROS MILITAR DE MINAS GERAIS";"FRUTAL";"Estabelecimento de condições de
cooperação mútua entre os partícipes, a fim de possibilitar a integração da
Coordenadoria Municipal de Proteção e Defesa civil – COMPDEC e o Corpo de
Bombeiros Militar de Minas Gerais – CBMMG na gestão, gerenciamento,
coordenação e execução das ações de Defesa Civil no Município de Frutal.";"2024-06-11";"2028-06-11";"VIGENTE";"https://drive.google.com/file/d/1B4H0e2jX5svN54KHL_wS_dZLu3uY6jtN/view?usp=sharing"
"2021";"1";"1400.01.0016513/2021-45";"CORPO DE BOMBEIROS MILITAR DE MINAS GERAIS";"FRUTAL";"Cooperação mútua entre os convenentes,
visando à execução pelo CBMMG, dos serviços de prevenção e combate a incêndio, busca e
salvamento, resgate e defesa civil no Município de Frutal e região.";"2021-07-01";"2022-06-30";"ENCERRADO";"https://drive.google.com/file/d/1r8CerCvtXcDnl0GBSqhVzeBeRfnzyb00/view?usp=sharing"
"2021";"13";"1400.01.0012746/2021-98";"CORPO DE BOMBEIROS MILITAR DE MINAS GERAIS";"ARAXÁ";"Estabelecimento de condições de
cooperação mútua entre os convenentes, visando à execução pelo CBMMG, dos
Serviços de Prevenção e de Combate a Incêndios, Buscas e Salvamentos, Resgates e
Execução de Atividades de Defesa Civil no município de Araxá e região, visando ainda
à efetiva e cada vez melhor manutenção da ordem e da defesa social.";"2025-03-13";"2026-03-12";"ENCERRADO";"https://drive.google.com/file/d/1US5_vIvtdxsOSrvmnrpNaCwLvEUYNFqf/view?usp=sharing"
"2022";"3";"1400.01.0004961/2021-94";"CORPO DE BOMBEIROS MILITAR DE MINAS GERAIS";"UBERABA";"Plano de Auxílio Mútuo em emergências que visa a atuação de seus integrantes, de forma conjunta, na preparação e efetiva resposta às emergências nas instalações das empresas integrantes e respectivas áreas de atuação, 24 horas por dia, durante todos os dias da semana, mediante a utilização de recursos humanos e materiais de cada empresa, órgão ou instituição integrante, colocados à disposição do plano, sob a coordenação do integrante atingido pela emergência e das autoridades competentes.";"2025-05-31";"2026-06-30";"VIGENTE";"2º TA TCT 03-22 Uberaba.pdf"
"2020";"27";"1400.01.0056548/2020-71";"CORPO DE BOMBEIROS MILITAR DE MINAS GERAIS";"ARAXÁ";"Integração da Coordenadoria Municipal de Proteção e Defesa civil – CMPDEC e o Corpo de Bombeiros Militar de Minas Gerais – CBMMG na gestão, gerenciamento, coordenação e execução das ações de Defesa Civil no Município de Araxá.";"2021-01-06";"2021-12-31";"ENCERRADO";"https://drive.google.com/file/d/1fuvfYDLCpL6eknWF4PA18hlT06u_v0VA/view?usp=sharing"
"2021";"1";"1400.01.0056526/2020-83";"CORPO DE BOMBEIROS MILITAR DE MINAS GERAIS";"CARNEIRINHO";"Cooperação mútua entre os convenentes visando a execução dos serviços de prevenção e de combate a incêndio, busca e salvamento, resgate e ações de defesa civil no município de Carneirinho e região.";"2025-01-01";"2025-12-31";"ENCERRADO";"https://drive.google.com/file/d/16fVER0P_4ggtMYHPRUt8rx1hI-hx46cZ/view?usp=sharing"
"2020";"4049";"1400.01.0040497/2020-52";"CORPO DE BOMBEIROS MILITAR DE MINAS GERAIS";"BELO HORIZONTE";"Oferta de treinamentos em ambiente virtual, que se realizará por meio do estabelecimento de vínculo de cooperação técnica entre as partes signatárias, com a finalidade de Prevenção e Combate a Incêndios em Canaviais, proporcionando aos instruendos condições técnicas para o combate aos princípios de incêndios e ao CBMMG um combate mais efetivo.";"2020-10-08";"2022-10-07";"ENCERRADO";"https://drive.google.com/file/d/1__sLZ3ZmQxJfIsUZmfTeA3vcF-pSHnJN/view?usp=sharing"
"2020";"1";"1400.01.0033230/2020-30";"CORPO DE BOMBEIROS MILITAR DE MINAS GERAIS";"UBERABA";"Estabelecimento de parceria entre a Universidade Federal do Triângulo Mineiro – UFTM e o Corpo de Bombeiros Militares do estado de Minas Gerais - CBMMG, visando, a mútua cooperação técnico-científica entre as partes, para a produção de conhecimento técnico-científico voltado à atividades de proteção e defesa civil, bem como à elaboração de protocolos de enfrentamento a este tipo de ocorrências, através de projetos a serem desenvolvidos no âmbito dos programas científicos de pesquisa e pósgraduação e em ações complementares de extensão e ensino da UFTM, com o colaboração mútua de pessoal, instalações, equipamentos e conhecimentos técnicos presentes nas duas instituições.";"2020-11-11";"2025-11-10";"ENCERRADO";"https://drive.google.com/file/d/1nYlyiOP2rHqzg71auZGV8R2kwFW5B_mo/view?usp=sharing"
"2020";"55";"1400.01.0024055/2020-17";"CORPO DE BOMBEIROS MILITAR DE MINAS GERAIS";"UBERABA";"Promoção de ações e atividades do ora partícipe conveniado para assistência médica´veterinária aos semoventes pertencentes 8º Batalhão do Corpo de Bombeiros Militares de Minas Gerais instalada no endereço alhures mensurado, em contrapartida, sempre que demandado pelo partícepe conveniado o partícipe convenente deverá disponibilizar os semoventes para doação de sangue.";"2020-05-26";"2022-11-25";"ENCERRADO";"https://drive.google.com/file/d/1sYirRWyqitN-DsUvBk4j9OorGbnX0kyR/view?usp=sharing"
"2020";"6236";"1400.01.0011363/2020-97
1400.01.0022777/2020-88
1400.01.0016068/2020-35";"CORPO DE BOMBEIROS MILITAR DE MINAS GERAIS";"ARAXÁ";"Estabelecimento de condições de cooperação mútua entre os convenentes, visando a execução pelo CBMMG, dos Serviços de Prevenção e de Combate a Incêndios, Buscas e Salvamento, Resgate e Execução de Atividades de Defesa Civil no município de Araxá e região, visando ainda à efetiva e cada vez melhor manutenção da ordem de defesa social.";"2020-10-08";"2020-12-31";"ENCERRADO";"https://drive.google.com/file/d/1g16IfdauwLyNTnjbF8xQzUGgecoaA_dV/view?usp=sharing"
"2020";"1";"1400.01.0065354/2019-59";"CORPO DE BOMBEIROS MILITAR DE MINAS GERAIS";"ITURAMA";"Estabelecimento de coondições de cooperação mútua entre os convenentes, visandoo a execução, pelo CBMMG/8º BBM, dos Serviçõs de Prevenção e de Combate a Incêndio, Busca e Salvamento, Resgate e Ações de Defesa Civil no Municipio de Iturama e região.";"2024-01-10";"2025-01-09";"ENCERRADO";"https://drive.google.com/file/d/1hRhfIppyJ0rKi53Rv02-_tUTLOqVb9Ej/view?usp=sharing"
